Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.99916903666772,0.8598130841121495,0.6216216216216216,0.7215686274509804,0.9552411107396745
Random Forest,0.9995201479348805,0.9572649572649573,0.7567567567567568,0.8452830188679246,0.9307385892839318
XGBoost,0.9994967405170698,0.9411764705882353,0.7567567567567568,0.8389513108614233,0.9285988374211599
